FECHA;HORA;DIRECCION;LATITUD;LONGITUD
2025-04-15;10:22:00;CL 9 66 02;4.62832131;-74.12023333
2025-04-19;09:12:00;TV 80 J 77 SUR 02;4.61049659;-74.20474044
2025-04-14;17:55:00;TV 56 A 55 02;4.67076571;-74.07617894
2025-04-15;14:27:00;CL 63 96 02;4.6921607;-74.12066606
2025-10-24;09:49:00;KR 79 A 6 A 02;4.63406251;-74.14953257
2025-10-29;13:49:00;KR 30 64 02;4.6584723;-74.0772853
2025-10-29;15:00:00;KR 17 F 73 A SUR 02;4.54460938;-74.13911072
2025-09-24;18:00:00;CL 13 43 02;4.62338203;-74.10212599
2025-09-04;07:55:00;KR 50 3 02;4.61505409;-74.1145651
2025-09-24;14:00:00;KR 29 C 79 42;4.67232047;-74.068534
2025-09-24;12:25:00;AVENIDA PRIMERO DE MAYO 52 A 02;4.60657147;-74.12627367
2025-11-25;23:00:00;CL 170 80 02;4.76240046;-74.07098261
2025-12-01;18:10:00;CL 23 96 F 02;4.6746082;-74.13501279
2025-12-03;08:00:00;AU DEL SUR 73 B 02;4.59572428;-74.16964821
2025-08-21;18:25:00;KR 17 61 A 02;4.64917482;-74.06779298
2025-08-28;06:10:00;KR 109 152 F 02;4.75553411;-74.09500595
2025-08-30;19:02:00;KR 6 ESTE 91 55 SUR;4.49697206;-74.10331531
2025-09-02;08:05:00;CL 188 15 02;4.76503516;-74.03483039
2025-08-31;14:30:00;CL 24 81 02;4.66768444;-74.12130628
2025-09-01;15:50:00;KR 13 18 81;4.60719464;-74.07587057
2025-04-25;11:20:00;KR 70 64 D 02;4.67490575;-74.09788516
2025-05-06;05:45:00;KR 50 37 SUR 02;4.59811704;-74.1250518
2025-05-19;23:30:00;CL 2 A 24 02;4.59806687;-74.09533439
2025-05-25;16:28:00;CL 38 A SUR 7 02;4.56238451;-74.10253266
2025-05-26;08:45:00;KR 14 L 69 D BIS SUR 02;4.52342603;-74.1202578
2025-06-05;21:37:00;CL 22 SUR 24 F 02;4.58636215;-74.10676431
2025-06-06;09:11:00;AVENIDA BOYACA 34 SUR 02;4.61648819;-74.13977037
2025-06-10;17:37:00;KR 34 9 02;4.61278079;-74.09916357
2025-06-12;19:00:00;CL 19 7 02;4.60524478;-74.07160781
2025-07-04;21:15:00;AVENIDA DE LAS AMERICAS 75 02;4.63128849;-74.14401487
2025-07-19;18:00:00;CL 40 SUR 79 02;4.62345737;-74.15751067
2025-07-19;18:20:00;CL 9 A SUR 1 A ESTE 02;4.57644787;-74.08230115
2025-08-05;22:40:00;CL 53 72 A 02;4.67176196;-74.10725679
2025-08-19;08:30:00;KR 129 138 B 02;4.74587128;-74.1113024
2025-08-26;14:50:00;CL 108 55 92;4.69738702;-74.06441767
2025-09-01;08:10:00;AVENIDA CIUDAD DE CALI 145 02;4.74658955;-74.09619878
2026-01-26;14:18:00;KR 30 26 02;4.62720558;-74.08107738
2026-01-27;13:58:00;CL 1 D 26 02;4.59658886;-74.09982564
2026-01-27;09:42:00;CL 135 A 10 02;4.71569323;-74.03422417
2026-01-22;09:30:00;KR 79 10 02;4.64338911;-74.14135402
2026-01-29;10:30:00;KR 9 163 02;4.74022022;-74.03169133
2026-01-30;00:01:00;KR 86 81 02;4.70404266;-74.10034841
2026-01-26;18:05:00;DG 71 BIS 51 02;4.6666527;-74.07614318
2026-01-30;05:54:00;KR 28 48 C SUR 02;4.58252315;-74.13248675
2026-01-29;17:10:00;KR 86 75 02;4.69922315;-74.10384065
2026-01-30;13:22:00;KR 82 23 D 02;4.66811379;-74.12396429
2026-01-27;04:20:00;KR 14 19 SUR 02;4.58237936;-74.10044864
2026-01-29;19:00:00;CL 163 8 D 52;4.73942108;-74.02934924
2026-01-29;19:00:00;KR 15 103 02;4.68792517;-74.04737381
2026-01-29;19:30:00;KR 19 66 02;4.65507374;-74.06769276
2026-02-01;00:20:00;KR 30 1 F 02;4.60087604;-74.10369781
2026-01-29;17:25:00;DG 73 G SUR 79 D 02;4.60798796;-74.20082396
2026-01-30;20:15:00;CL 19 19 02;4.61184829;-74.08075317
2026-02-01;00:20:00;KR 21 51 02;4.63943197;-74.07231445
2026-01-30;20:00:00;KR 80 58 K SUR 02;4.60976756;-74.17990529
2026-02-02;21:00:00;CL 26 78 02;4.6739157;-74.1163357
2026-02-03;12:25:00;CL 64 C 73 02;4.67795284;-74.10294687
2026-02-03;08:58:00;AVENIDA CIUDAD DE CALI 15 A 02;4.65669233;-74.1386723
2025-06-18;20:30:00;KR 71 B 53 A SUR 02;4.60453651;-74.16188038
2025-06-18;20:00:00;KR 7 48 02;4.63466396;-74.06374486
2025-06-18;13:48:00;CL 26 A SUR 20 02;4.58191561;-74.10756526
2025-05-25;20:15:00;KR 16 P 72 SUR 02;4.54266554;-74.13477359
2025-07-23;01:15:00;CL 12 6 02;4.59862885;-74.07393358
2025-07-21;15:30:00;DG 2 82 02;4.63736177;-74.1563722
2025-07-19;06:50:00;AVENIDA CIUDAD DE CALI 83 39;4.7055476;-74.09934075
2025-08-19;07:55:00;CL 17 96 02;4.6656643;-74.14064787
2025-08-24;04:30:00;AVENIDA CIUDAD DE QUITO 56 02;4.64582336;-74.07905582
2025-08-28;21:10:00;CL 43 SUR 52 C 02;4.59621796;-74.13563604
2025-08-26;18:53:00;KR 68 13 02;4.63735691;-74.11836749
2025-09-03;16:25:00;CL 72 77 A 02;4.69107534;-74.09988049
2025-07-12;22:30:00;KR 72 12 02;4.64459737;-74.13146576
